Unnamed: 0,title,persons,time,calories,stars,url,image
0,"Couscous met kip, bospeen en cranberrysaus",4,15,635,0,https://www.ah.nl/allerhande/recept/R-R1195764/couscous-met-kip-bospeen-en-cranberrysaus,https://static.ah.nl/static/recepten/img_RAM_PRD156352_1024x748_JPG.jpg
0,Lekkerbekje met aardappel en groente uit de oven,4,10,715,0,https://www.ah.nl/allerhande/recept/R-R1195763/lekkerbekje-met-aardappel-en-groente-uit-de-oven,https://static.ah.nl/static/recepten/img_RAM_PRD156354_1024x748_JPG.jpg
0,"Tortillaschotel met zoete aardappel, tomaat en avocado",4,15,605,0,https://www.ah.nl/allerhande/recept/R-R1195762/tortillaschotel-met-zoete-aardappel-tomaat-en-avocado,https://static.ah.nl/static/recepten/img_RAM_PRD156358_1024x748_JPG.jpg
0,Chicken pot pie,4,30,350,0,https://www.ah.nl/allerhande/recept/R-R1195742/chicken-pot-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156240_1024x748_JPG.jpg
0,Rijstpudding uit de oven met gebakken peren,6,15,325,0,https://www.ah.nl/allerhande/recept/R-R1195723/rijstpudding-uit-de-oven-met-gebakken-peren,https://static.ah.nl/static/recepten/img_RAM_PRD156266_1024x748_JPG.jpg
0,Eenpans-paddenstoelenstoof met deegballetjes,4,30,470,0,https://www.ah.nl/allerhande/recept/R-R1195722/eenpans-paddenstoelenstoof-met-deegballetjes,https://static.ah.nl/static/recepten/img_RAM_PRD156242_1024x748_JPG.jpg
0,Portobellosteaks met aardappelpuree,4,35,695,0,https://www.ah.nl/allerhande/recept/R-R1195721/portobellosteaks-met-aardappelpuree,https://static.ah.nl/static/recepten/img_RAM_PRD156262_1024x748_JPG.jpg
0,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,4,25,390,0,https://www.ah.nl/allerhande/recept/R-R1195720/broodje-pulled-paddo-s-met-barbecuesaus-en-knolselderijsalade,https://static.ah.nl/static/recepten/img_RAM_PRD156237_1024x748_JPG.jpg
0,Pumpkin spice latte,4,25,385,0,https://www.ah.nl/allerhande/recept/R-R1195719/pumpkin-spice-latte,https://static.ah.nl/static/recepten/img_RAM_PRD156264_1024x748_JPG.jpg
0,Koffie-chocoladecake met kardamom,8,20,530,0,https://www.ah.nl/allerhande/recept/R-R1195718/koffie-chocoladecake-met-kardamom,https://static.ah.nl/static/recepten/img_RAM_PRD156252_1024x748_JPG.jpg
