Unnamed: 0,recipe,nutrition,value
126,Sajoer boontjes ,vezels,5 g
127,Koe loe kai ,energie,785 kcal
128,Koe loe kai ,koolhydraten,85 g
129,Koe loe kai ,waarvan suikers,37 g
130,Koe loe kai ,natrium,1320 mg
131,Koe loe kai ,eiwit,41 g
132,Koe loe kai ,vet,30 g
133,Koe loe kai ,waarvan verzadigd,6 g
134,Koe loe kai ,vezels,5 g
135,Pasta pesto met kipstuckjes en tomatensalade,energie,770 kcal
136,Pasta pesto met kipstuckjes en tomatensalade,koolhydraten,63 g
137,Pasta pesto met kipstuckjes en tomatensalade,waarvan suikers,9 g
138,Pasta pesto met kipstuckjes en tomatensalade,natrium,640 mg
139,Pasta pesto met kipstuckjes en tomatensalade,eiwit,31 g
140,Pasta pesto met kipstuckjes en tomatensalade,vet,42 g
141,Pasta pesto met kipstuckjes en tomatensalade,waarvan verzadigd,12 g
142,Pasta pesto met kipstuckjes en tomatensalade,vezels,8 g
143,Hutspot met vegetarische rookworst en jus,energie,535 kcal
144,Hutspot met vegetarische rookworst en jus,koolhydraten,64 g
145,Hutspot met vegetarische rookworst en jus,waarvan suikers,16 g
146,Hutspot met vegetarische rookworst en jus,natrium,1320 mg
147,Hutspot met vegetarische rookworst en jus,eiwit,15 g
148,Hutspot met vegetarische rookworst en jus,vet,21 g
149,Hutspot met vegetarische rookworst en jus,waarvan verzadigd,6 g
150,Hutspot met vegetarische rookworst en jus,vezels,15 g
151,Zoete aardappelstamppot met spruiten en vega gehacktbal,energie,595 kcal
152,Zoete aardappelstamppot met spruiten en vega gehacktbal,koolhydraten,70 g
153,Zoete aardappelstamppot met spruiten en vega gehacktbal,waarvan suikers,18 g
154,Zoete aardappelstamppot met spruiten en vega gehacktbal,natrium,1360 mg
155,Zoete aardappelstamppot met spruiten en vega gehacktbal,eiwit,26 g
156,Zoete aardappelstamppot met spruiten en vega gehacktbal,vet,19 g
157,Zoete aardappelstamppot met spruiten en vega gehacktbal,waarvan verzadigd,6 g
158,Zoete aardappelstamppot met spruiten en vega gehacktbal,vezels,19 g
159,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,energie,505 kcal
160,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,koolhydraten,35 g
161,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,waarvan suikers,6 g
162,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,natrium,880 mg
163,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,eiwit,29 g
164,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,vet,25 g
165,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,waarvan verzadigd,6 g
166,'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,vezels,12 g
167,Gebakken krieltjes met broccoli en vegetarische bratwurst,energie,535 kcal
168,Gebakken krieltjes met broccoli en vegetarische bratwurst,koolhydraten,56 g
169,Gebakken krieltjes met broccoli en vegetarische bratwurst,waarvan suikers,3 g
170,Gebakken krieltjes met broccoli en vegetarische bratwurst,natrium,800 mg
171,Gebakken krieltjes met broccoli en vegetarische bratwurst,eiwit,23 g
172,Gebakken krieltjes met broccoli en vegetarische bratwurst,vet,22 g
173,Gebakken krieltjes met broccoli en vegetarische bratwurst,waarvan verzadigd,7 g
174,Gebakken krieltjes met broccoli en vegetarische bratwurst,vezels,11 g
175,"Noedels met tofu, Chinese wokgroente en zoete chilisaus",energie,535 kcal
176,"Noedels met tofu, Chinese wokgroente en zoete chilisaus",koolhydraten,55 g
177,"Noedels met tofu, Chinese wokgroente en zoete chilisaus",waarvan suikers,7 g
178,"Noedels met tofu, Chinese wokgroente en zoete chilisaus",natrium,600 mg
179,"Noedels met tofu, Chinese wokgroente en zoete chilisaus",eiwit,24 g
180,"Noedels met tofu, Chinese wokgroente en zoete chilisaus",vet,22 g
181,"Noedels met tofu, Chinese wokgroente en zoete chilisaus",waarvan verzadigd,4 g
182,"Noedels met tofu, Chinese wokgroente en zoete chilisaus",vezels,8 g
183,Groentewraps met vegetarische schnitzel,energie,680 kcal
184,Groentewraps met vegetarische schnitzel,koolhydraten,72 g
185,Groentewraps met vegetarische schnitzel,waarvan suikers,10 g
186,Groentewraps met vegetarische schnitzel,natrium,1080 mg
187,Groentewraps met vegetarische schnitzel,eiwit,24 g
188,Groentewraps met vegetarische schnitzel,vet,30 g
189,Groentewraps met vegetarische schnitzel,waarvan verzadigd,8 g
190,Groentewraps met vegetarische schnitzel,vezels,13 g
191,Romige spaghetti met bloemkoolsaus en spinazie,energie,560 kcal
192,Romige spaghetti met bloemkoolsaus en spinazie,koolhydraten,62 g
193,Romige spaghetti met bloemkoolsaus en spinazie,waarvan suikers,11 g
194,Romige spaghetti met bloemkoolsaus en spinazie,natrium,680 mg
195,Romige spaghetti met bloemkoolsaus en spinazie,eiwit,22 g
196,Romige spaghetti met bloemkoolsaus en spinazie,vet,22 g
197,Romige spaghetti met bloemkoolsaus en spinazie,waarvan verzadigd,4 g
198,Romige spaghetti met bloemkoolsaus en spinazie,vezels,11 g
199,Muesli-ontbijttaart met skyr en sinaasappel,energie,500 kcal
200,Muesli-ontbijttaart met skyr en sinaasappel,koolhydraten,52 g
201,Muesli-ontbijttaart met skyr en sinaasappel,waarvan suikers,28 g
202,Muesli-ontbijttaart met skyr en sinaasappel,natrium,80 mg
203,Muesli-ontbijttaart met skyr en sinaasappel,eiwit,15 g
204,Muesli-ontbijttaart met skyr en sinaasappel,vet,23 g
205,Muesli-ontbijttaart met skyr en sinaasappel,waarvan verzadigd,13 g
206,Muesli-ontbijttaart met skyr en sinaasappel,vezels,12 g
207,"Orzo met kalkoen, spinazie en geitenkaas",energie,490 kcal
208,"Orzo met kalkoen, spinazie en geitenkaas",koolhydraten,58 g
209,"Orzo met kalkoen, spinazie en geitenkaas",waarvan suikers,5 g
210,"Orzo met kalkoen, spinazie en geitenkaas",natrium,440 mg
211,"Orzo met kalkoen, spinazie en geitenkaas",eiwit,26 g
212,"Orzo met kalkoen, spinazie en geitenkaas",vet,16 g
213,"Orzo met kalkoen, spinazie en geitenkaas",waarvan verzadigd,7 g
214,"Orzo met kalkoen, spinazie en geitenkaas",vezels,6 g
215,Andijviestamppot met tomaatjes en zalm,energie,465 kcal
216,Andijviestamppot met tomaatjes en zalm,koolhydraten,47 g
217,Andijviestamppot met tomaatjes en zalm,waarvan suikers,9 g
218,Andijviestamppot met tomaatjes en zalm,natrium,520 mg
219,Andijviestamppot met tomaatjes en zalm,eiwit,22 g
220,Andijviestamppot met tomaatjes en zalm,vet,20 g
221,Andijviestamppot met tomaatjes en zalm,waarvan verzadigd,9 g
222,Andijviestamppot met tomaatjes en zalm,vezels,4 g
223,"Groene-currysoep met groenten, noedels en taugé",energie,460 kcal
224,"Groene-currysoep met groenten, noedels en taugé",koolhydraten,55 g
225,"Groene-currysoep met groenten, noedels en taugé",waarvan suikers,5 g
226,"Groene-currysoep met groenten, noedels en taugé",natrium,560 mg
227,"Groene-currysoep met groenten, noedels en taugé",eiwit,9 g
228,"Groene-currysoep met groenten, noedels en taugé",vet,21 g
229,"Groene-currysoep met groenten, noedels en taugé",waarvan verzadigd,17 g
230,"Groene-currysoep met groenten, noedels en taugé",vezels,10 g
231,"Couscous met kip, bospeen en cranberrysaus",energie,635 kcal
232,"Couscous met kip, bospeen en cranberrysaus",koolhydraten,72 g
233,"Couscous met kip, bospeen en cranberrysaus",waarvan suikers,20 g
234,"Couscous met kip, bospeen en cranberrysaus",natrium,240 mg
235,"Couscous met kip, bospeen en cranberrysaus",eiwit,29 g
236,"Couscous met kip, bospeen en cranberrysaus",vet,24 g
237,"Couscous met kip, bospeen en cranberrysaus",waarvan verzadigd,5 g
238,"Couscous met kip, bospeen en cranberrysaus",vezels,7 g
239,Lekkerbekje met aardappel en groente uit de oven,energie,715 kcal
240,Lekkerbekje met aardappel en groente uit de oven,koolhydraten,71 g
241,Lekkerbekje met aardappel en groente uit de oven,waarvan suikers,4 g
242,Lekkerbekje met aardappel en groente uit de oven,natrium,800 mg
243,Lekkerbekje met aardappel en groente uit de oven,eiwit,27 g
244,Lekkerbekje met aardappel en groente uit de oven,vet,34 g
245,Lekkerbekje met aardappel en groente uit de oven,waarvan verzadigd,5 g
246,Lekkerbekje met aardappel en groente uit de oven,vezels,9 g
247,"Tortillaschotel met zoete aardappel, tomaat en avocado",energie,605 kcal
248,"Tortillaschotel met zoete aardappel, tomaat en avocado",koolhydraten,58 g
249,"Tortillaschotel met zoete aardappel, tomaat en avocado",waarvan suikers,15 g
250,"Tortillaschotel met zoete aardappel, tomaat en avocado",natrium,520 mg
251,"Tortillaschotel met zoete aardappel, tomaat en avocado",eiwit,16 g
252,"Tortillaschotel met zoete aardappel, tomaat en avocado",vet,31 g
253,"Tortillaschotel met zoete aardappel, tomaat en avocado",waarvan verzadigd,7 g
254,"Tortillaschotel met zoete aardappel, tomaat en avocado",vezels,15 g
255,Chicken pot pie,energie,350 kcal
256,Chicken pot pie,koolhydraten,29 g
257,Chicken pot pie,waarvan suikers,6 g
258,Chicken pot pie,natrium,560 mg
259,Chicken pot pie,eiwit,31 g
260,Chicken pot pie,vet,11 g
261,Chicken pot pie,waarvan verzadigd,5 g
262,Chicken pot pie,vezels,6 g
263,Rijstpudding uit de oven met gebakken peren,energie,325 kcal
264,Rijstpudding uit de oven met gebakken peren,koolhydraten,38 g
265,Rijstpudding uit de oven met gebakken peren,waarvan suikers,24 g
266,Rijstpudding uit de oven met gebakken peren,natrium,160 mg
267,Rijstpudding uit de oven met gebakken peren,eiwit,7 g
268,Rijstpudding uit de oven met gebakken peren,vet,16 g
269,Rijstpudding uit de oven met gebakken peren,waarvan verzadigd,12 g
270,Rijstpudding uit de oven met gebakken peren,vezels,1 g
271,Eenpans-paddenstoelenstoof met deegballetjes,energie,470 kcal
272,Eenpans-paddenstoelenstoof met deegballetjes,koolhydraten,39 g
273,Eenpans-paddenstoelenstoof met deegballetjes,waarvan suikers,6 g
274,Eenpans-paddenstoelenstoof met deegballetjes,natrium,760 mg
275,Eenpans-paddenstoelenstoof met deegballetjes,eiwit,10 g
276,Eenpans-paddenstoelenstoof met deegballetjes,vet,28 g
277,Eenpans-paddenstoelenstoof met deegballetjes,waarvan verzadigd,16 g
278,Eenpans-paddenstoelenstoof met deegballetjes,vezels,4 g
279,Portobellosteaks met aardappelpuree,energie,695 kcal
280,Portobellosteaks met aardappelpuree,koolhydraten,53 g
281,Portobellosteaks met aardappelpuree,waarvan suikers,10 g
282,Portobellosteaks met aardappelpuree,natrium,200 mg
