Unnamed: 0,recipe,nutrition,value
9572,Geroosterde bloemkool met biet-tahinsaus,waarvan suikers,10 g
9573,Geroosterde bloemkool met biet-tahinsaus,natrium,720 mg
9574,Geroosterde bloemkool met biet-tahinsaus,eiwit,14 g
9575,Geroosterde bloemkool met biet-tahinsaus,vet,30 g
9576,Geroosterde bloemkool met biet-tahinsaus,waarvan verzadigd,11 g
9577,Geroosterde bloemkool met biet-tahinsaus,vezels,7 g
9578,"Filodeegtaart met radijs, spinazie en ricotta",energie,520 kcal
9579,"Filodeegtaart met radijs, spinazie en ricotta",koolhydraten,28 g
9580,"Filodeegtaart met radijs, spinazie en ricotta",waarvan suikers,5 g
9581,"Filodeegtaart met radijs, spinazie en ricotta",natrium,840 mg
9582,"Filodeegtaart met radijs, spinazie en ricotta",eiwit,24 g
9583,"Filodeegtaart met radijs, spinazie en ricotta",vet,34 g
9584,"Filodeegtaart met radijs, spinazie en ricotta",waarvan verzadigd,18 g
9585,"Filodeegtaart met radijs, spinazie en ricotta",vezels,3 g
9586,Aardappeltjes met gegrilde asperges,energie,465 kcal
9587,Aardappeltjes met gegrilde asperges,koolhydraten,40 g
9588,Aardappeltjes met gegrilde asperges,waarvan suikers,6 g
9589,Aardappeltjes met gegrilde asperges,natrium,240 mg
9590,Aardappeltjes met gegrilde asperges,eiwit,13 g
9591,Aardappeltjes met gegrilde asperges,vet,27 g
9592,Aardappeltjes met gegrilde asperges,waarvan verzadigd,10 g
9593,Aardappeltjes met gegrilde asperges,vezels,10 g
9594,Bagel plantaardige roomkaas met aardbei en munt,energie,410 kcal
9595,Bagel plantaardige roomkaas met aardbei en munt,koolhydraten,54 g
9596,Bagel plantaardige roomkaas met aardbei en munt,waarvan suikers,7 g
9597,Bagel plantaardige roomkaas met aardbei en munt,natrium,680 mg
9598,Bagel plantaardige roomkaas met aardbei en munt,eiwit,9 g
9599,Bagel plantaardige roomkaas met aardbei en munt,vet,17 g
9600,Bagel plantaardige roomkaas met aardbei en munt,waarvan verzadigd,11 g
9601,Bagel plantaardige roomkaas met aardbei en munt,vezels,3 g
9602,"Bagel gerookte zalm, roomkaas en kappertjes",energie,420 kcal
9603,"Bagel gerookte zalm, roomkaas en kappertjes",koolhydraten,52 g
9604,"Bagel gerookte zalm, roomkaas en kappertjes",waarvan suikers,8 g
9605,"Bagel gerookte zalm, roomkaas en kappertjes",natrium,1040 mg
9606,"Bagel gerookte zalm, roomkaas en kappertjes",eiwit,18 g
9607,"Bagel gerookte zalm, roomkaas en kappertjes",vet,15 g
9608,"Bagel gerookte zalm, roomkaas en kappertjes",waarvan verzadigd,6 g
9609,"Bagel gerookte zalm, roomkaas en kappertjes",vezels,3 g
9610,"Bagel guacamole, bacon en tomaat",energie,385 kcal
9611,"Bagel guacamole, bacon en tomaat",koolhydraten,52 g
9612,"Bagel guacamole, bacon en tomaat",waarvan suikers,7 g
9613,"Bagel guacamole, bacon en tomaat",natrium,800 mg
9614,"Bagel guacamole, bacon en tomaat",eiwit,13 g
9615,"Bagel guacamole, bacon en tomaat",vet,13 g
9616,"Bagel guacamole, bacon en tomaat",waarvan verzadigd,2 g
9617,"Bagel guacamole, bacon en tomaat",vezels,4 g
9618,"Ovenrijst met tuinbonen, artisjok en sardines",energie,605 kcal
9619,"Ovenrijst met tuinbonen, artisjok en sardines",koolhydraten,67 g
9620,"Ovenrijst met tuinbonen, artisjok en sardines",waarvan suikers,6 g
9621,"Ovenrijst met tuinbonen, artisjok en sardines",natrium,800 mg
9622,"Ovenrijst met tuinbonen, artisjok en sardines",eiwit,15 g
9623,"Ovenrijst met tuinbonen, artisjok en sardines",vet,29 g
9624,"Ovenrijst met tuinbonen, artisjok en sardines",waarvan verzadigd,5 g
9625,"Ovenrijst met tuinbonen, artisjok en sardines",vezels,9 g
9626,Vegan griesmeelpudding met perzik &amp; karamelsaus,energie,415 kcal
9627,Vegan griesmeelpudding met perzik &amp; karamelsaus,koolhydraten,59 g
9628,Vegan griesmeelpudding met perzik &amp; karamelsaus,waarvan suikers,42 g
9629,Vegan griesmeelpudding met perzik &amp; karamelsaus,natrium,80 mg
9630,Vegan griesmeelpudding met perzik &amp; karamelsaus,eiwit,5 g
9631,Vegan griesmeelpudding met perzik &amp; karamelsaus,vet,17 g
9632,Vegan griesmeelpudding met perzik &amp; karamelsaus,waarvan verzadigd,10 g
9633,Vegan griesmeelpudding met perzik &amp; karamelsaus,vezels,3 g
9634,Courgettetaart met haver fraîche,energie,695 kcal
9635,Courgettetaart met haver fraîche,koolhydraten,56 g
9636,Courgettetaart met haver fraîche,waarvan suikers,16 g
9637,Courgettetaart met haver fraîche,natrium,520 mg
9638,Courgettetaart met haver fraîche,eiwit,15 g
9639,Courgettetaart met haver fraîche,vet,44 g
9640,Courgettetaart met haver fraîche,waarvan verzadigd,16 g
9641,Courgettetaart met haver fraîche,vezels,8 g
9642,Vega worst-groentenspiesjes,energie,360 kcal
9643,Vega worst-groentenspiesjes,koolhydraten,5 g
9644,Vega worst-groentenspiesjes,waarvan suikers,3 g
9645,Vega worst-groentenspiesjes,natrium,560 mg
9646,Vega worst-groentenspiesjes,eiwit,13 g
9647,Vega worst-groentenspiesjes,vet,31 g
9648,Vega worst-groentenspiesjes,waarvan verzadigd,4 g
9649,Vega worst-groentenspiesjes,vezels,5 g
9650,Verse tagliatelle met ragù van linzen,energie,730 kcal
9651,Verse tagliatelle met ragù van linzen,koolhydraten,105 g
9652,Verse tagliatelle met ragù van linzen,waarvan suikers,15 g
9653,Verse tagliatelle met ragù van linzen,natrium,200 mg
9654,Verse tagliatelle met ragù van linzen,eiwit,37 g
9655,Verse tagliatelle met ragù van linzen,vet,15 g
9656,Verse tagliatelle met ragù van linzen,waarvan verzadigd,5 g
9657,Verse tagliatelle met ragù van linzen,vezels,11 g
9658,Pastasalade met mais &amp; paprika,energie,445 kcal
9659,Pastasalade met mais &amp; paprika,koolhydraten,71 g
9660,Pastasalade met mais &amp; paprika,waarvan suikers,13 g
9661,Pastasalade met mais &amp; paprika,natrium,320 mg
9662,Pastasalade met mais &amp; paprika,eiwit,12 g
9663,Pastasalade met mais &amp; paprika,vet,11 g
9664,Pastasalade met mais &amp; paprika,waarvan verzadigd,7 g
9665,Pastasalade met mais &amp; paprika,vezels,6 g
9666,Snijbonenstamppot met veldsla en vega balletjes,energie,475 kcal
9667,Snijbonenstamppot met veldsla en vega balletjes,koolhydraten,56 g
9668,Snijbonenstamppot met veldsla en vega balletjes,waarvan suikers,5 g
9669,Snijbonenstamppot met veldsla en vega balletjes,natrium,1000 mg
9670,Snijbonenstamppot met veldsla en vega balletjes,eiwit,27 g
9671,Snijbonenstamppot met veldsla en vega balletjes,vet,12 g
9672,Snijbonenstamppot met veldsla en vega balletjes,waarvan verzadigd,5 g
9673,Snijbonenstamppot met veldsla en vega balletjes,vezels,18 g
9674,Gegrilde halloumiburgers,energie,695 kcal
9675,Gegrilde halloumiburgers,koolhydraten,36 g
9676,Gegrilde halloumiburgers,waarvan suikers,15 g
9677,Gegrilde halloumiburgers,natrium,1560 mg
9678,Gegrilde halloumiburgers,eiwit,33 g
9679,Gegrilde halloumiburgers,vet,46 g
9680,Gegrilde halloumiburgers,waarvan verzadigd,22 g
9681,Gegrilde halloumiburgers,vezels,2 g
9682,Snelle panzanella,energie,375 kcal
9683,Snelle panzanella,koolhydraten,32 g
9684,Snelle panzanella,waarvan suikers,7 g
9685,Snelle panzanella,natrium,200 mg
9686,Snelle panzanella,eiwit,6 g
9687,Snelle panzanella,vet,24 g
9688,Snelle panzanella,waarvan verzadigd,4 g
9689,Snelle panzanella,vezels,4 g
9690,Sticky kippenvleugels van de bbq,energie,400 kcal
9691,Sticky kippenvleugels van de bbq,koolhydraten,7 g
9692,Sticky kippenvleugels van de bbq,waarvan suikers,5 g
9693,Sticky kippenvleugels van de bbq,natrium,600 mg
9694,Sticky kippenvleugels van de bbq,eiwit,32 g
9695,Sticky kippenvleugels van de bbq,vet,27 g
9696,Sticky kippenvleugels van de bbq,waarvan verzadigd,7 g
9697,Sticky kippenvleugels van de bbq,vezels,1 g
9698,Sticky tempé-spareribs,energie,345 kcal
9699,Sticky tempé-spareribs,koolhydraten,45 g
9700,Sticky tempé-spareribs,waarvan suikers,38 g
9701,Sticky tempé-spareribs,natrium,1920 mg
9702,Sticky tempé-spareribs,eiwit,17 g
9703,Sticky tempé-spareribs,vet,9 g
9704,Sticky tempé-spareribs,waarvan verzadigd,1 g
9705,Sticky tempé-spareribs,vezels,7 g
9706,Aardappelsalade met bosui en kappertjes,energie,240 kcal
9707,Aardappelsalade met bosui en kappertjes,koolhydraten,33 g
9708,Aardappelsalade met bosui en kappertjes,waarvan suikers,3 g
9709,Aardappelsalade met bosui en kappertjes,natrium,160 mg
9710,Aardappelsalade met bosui en kappertjes,eiwit,5 g
9711,Aardappelsalade met bosui en kappertjes,vet,9 g
9712,Aardappelsalade met bosui en kappertjes,waarvan verzadigd,2 g
9713,Aardappelsalade met bosui en kappertjes,vezels,5 g
9714,"Traybake met kikkererwten, gnocchi &amp; aubergine",energie,490 kcal
9715,"Traybake met kikkererwten, gnocchi &amp; aubergine",koolhydraten,81 g
9716,"Traybake met kikkererwten, gnocchi &amp; aubergine",waarvan suikers,28 g
9717,"Traybake met kikkererwten, gnocchi &amp; aubergine",natrium,1160 mg
9718,"Traybake met kikkererwten, gnocchi &amp; aubergine",eiwit,13 g
9719,"Traybake met kikkererwten, gnocchi &amp; aubergine",vet,10 g
9720,"Traybake met kikkererwten, gnocchi &amp; aubergine",waarvan verzadigd,1 g
9721,"Traybake met kikkererwten, gnocchi &amp; aubergine",vezels,12 g
9722,Tortilla’s met pulled oats en bonen-avocadosalade,energie,560 kcal
9723,Tortilla’s met pulled oats en bonen-avocadosalade,koolhydraten,50 g
9724,Tortilla’s met pulled oats en bonen-avocadosalade,waarvan suikers,10 g
9725,Tortilla’s met pulled oats en bonen-avocadosalade,natrium,520 mg
9726,Tortilla’s met pulled oats en bonen-avocadosalade,eiwit,25 g
9727,Tortilla’s met pulled oats en bonen-avocadosalade,vet,26 g
9728,Tortilla’s met pulled oats en bonen-avocadosalade,waarvan verzadigd,3 g
9729,Tortilla’s met pulled oats en bonen-avocadosalade,vezels,14 g
9730,Veggie mac and cheese,energie,825 kcal
9731,Veggie mac and cheese,koolhydraten,72 g
9732,Veggie mac and cheese,waarvan suikers,11 g
9733,Veggie mac and cheese,natrium,1160 mg
9734,Veggie mac and cheese,eiwit,39 g
9735,Veggie mac and cheese,vet,41 g
9736,Veggie mac and cheese,waarvan verzadigd,15 g
9737,Veggie mac and cheese,vezels,7 g
9738,"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",energie,875 kcal
9739,"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",koolhydraten,76 g
9740,"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",waarvan suikers,14 g
9741,"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",natrium,800 mg
9742,"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",eiwit,20 g
9743,"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",vet,52 g
9744,"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",waarvan verzadigd,6 g
9745,"Tortilla's met zoete aardappel, avocado &amp; pulled vega stukjes",vezels,12 g
9746,Rabarbertaart met zanddeeg,energie,385 kcal
9747,Rabarbertaart met zanddeeg,koolhydraten,40 g
9748,Rabarbertaart met zanddeeg,waarvan suikers,17 g
9749,Rabarbertaart met zanddeeg,natrium,40 mg
9750,Rabarbertaart met zanddeeg,eiwit,8 g
9751,Rabarbertaart met zanddeeg,vet,21 g
9752,Rabarbertaart met zanddeeg,waarvan verzadigd,10 g
9753,Rabarbertaart met zanddeeg,vezels,3 g
9754,"Salade met rabarber, geitenkaas en spekjes",energie,295 kcal
9755,"Salade met rabarber, geitenkaas en spekjes",koolhydraten,12 g
9756,"Salade met rabarber, geitenkaas en spekjes",waarvan suikers,10 g
9757,"Salade met rabarber, geitenkaas en spekjes",natrium,440 mg
9758,"Salade met rabarber, geitenkaas en spekjes",eiwit,11 g
9759,"Salade met rabarber, geitenkaas en spekjes",vet,22 g
9760,"Salade met rabarber, geitenkaas en spekjes",waarvan verzadigd,8 g
9761,"Salade met rabarber, geitenkaas en spekjes",vezels,3 g
9762,Geroosterde bospeen &amp; courgette met balsamicosiroop en feta,energie,210 kcal
9763,Geroosterde bospeen &amp; courgette met balsamicosiroop en feta,koolhydraten,25 g
9764,Geroosterde bospeen &amp; courgette met balsamicosiroop en feta,waarvan suikers,24 g
9765,Geroosterde bospeen &amp; courgette met balsamicosiroop en feta,natrium,240 mg
9766,Geroosterde bospeen &amp; courgette met balsamicosiroop en feta,eiwit,7 g
9767,Geroosterde bospeen &amp; courgette met balsamicosiroop en feta,vet,8 g
9768,Geroosterde bospeen &amp; courgette met balsamicosiroop en feta,waarvan verzadigd,4 g
9769,Geroosterde bospeen &amp; courgette met balsamicosiroop en feta,vezels,5 g
9770,"Pantosti met gruyère, ham en mosterd",energie,510 kcal
9771,"Pantosti met gruyère, ham en mosterd",koolhydraten,33 g
9772,"Pantosti met gruyère, ham en mosterd",waarvan suikers,6 g
9773,"Pantosti met gruyère, ham en mosterd",natrium,1040 mg
9774,"Pantosti met gruyère, ham en mosterd",eiwit,24 g
9775,"Pantosti met gruyère, ham en mosterd",vet,30 g
9776,"Pantosti met gruyère, ham en mosterd",waarvan verzadigd,14 g
9777,"Pantosti met gruyère, ham en mosterd",vezels,5 g
9778,Semifreddo met cantuccini,energie,330 kcal
9779,Semifreddo met cantuccini,koolhydraten,30 g
9780,Semifreddo met cantuccini,waarvan suikers,25 g
9781,Semifreddo met cantuccini,natrium,80 mg
9782,Semifreddo met cantuccini,eiwit,6 g
9783,Semifreddo met cantuccini,vet,20 g
9784,Semifreddo met cantuccini,waarvan verzadigd,12 g
9785,Semifreddo met cantuccini,vezels,2 g
9786,Rijst koken,energie,265 kcal
9787,Rijst koken,koolhydraten,58 g
9788,Rijst koken,waarvan suikers,0 g
9789,Rijst koken,natrium,120 mg
9790,Rijst koken,eiwit,6 g
9791,Rijst koken,vet,1 g
9792,Rijst koken,waarvan verzadigd,0 g
9793,Rijst koken,vezels,1 g
9794,Broccoli koken,energie,40 kcal
9795,Broccoli koken,koolhydraten,1 g
9796,Broccoli koken,waarvan suikers,1 g
9797,Broccoli koken,natrium,40 mg
9798,Broccoli koken,eiwit,4 g
9799,Broccoli koken,vet,1 g
9800,Broccoli koken,waarvan verzadigd,0 g
9801,Broccoli koken,vezels,5 g
9802,Vegan clubsandwich met groentespread &amp; rauwkost,energie,490 kcal
9803,Vegan clubsandwich met groentespread &amp; rauwkost,koolhydraten,48 g
9804,Vegan clubsandwich met groentespread &amp; rauwkost,waarvan suikers,6 g
9805,Vegan clubsandwich met groentespread &amp; rauwkost,natrium,560 mg
9806,Vegan clubsandwich met groentespread &amp; rauwkost,eiwit,19 g
9807,Vegan clubsandwich met groentespread &amp; rauwkost,vet,24 g
9808,Vegan clubsandwich met groentespread &amp; rauwkost,waarvan verzadigd,3 g
9809,Vegan clubsandwich met groentespread &amp; rauwkost,vezels,8 g
9810,Mexicaanse burger met rodekool &amp; ananassalsa,energie,655 kcal
9811,Mexicaanse burger met rodekool &amp; ananassalsa,koolhydraten,40 g
9812,Mexicaanse burger met rodekool &amp; ananassalsa,waarvan suikers,15 g
9813,Mexicaanse burger met rodekool &amp; ananassalsa,natrium,720 mg
9814,Mexicaanse burger met rodekool &amp; ananassalsa,eiwit,37 g
9815,Mexicaanse burger met rodekool &amp; ananassalsa,vet,37 g
9816,Mexicaanse burger met rodekool &amp; ananassalsa,waarvan verzadigd,13 g
9817,Mexicaanse burger met rodekool &amp; ananassalsa,vezels,7 g
9818,Frittata met groene-aspergetips,energie,115 kcal
9819,Frittata met groene-aspergetips,koolhydraten,1 g
9820,Frittata met groene-aspergetips,waarvan suikers,1 g
9821,Frittata met groene-aspergetips,natrium,80 mg
9822,Frittata met groene-aspergetips,eiwit,7 g
9823,Frittata met groene-aspergetips,vet,9 g
9824,Frittata met groene-aspergetips,waarvan verzadigd,4 g
9825,Frittata met groene-aspergetips,vezels,1 g
9826,Gevuld ei als paaskuiken,energie,250 kcal
9827,Gevuld ei als paaskuiken,koolhydraten,3 g
9828,Gevuld ei als paaskuiken,waarvan suikers,2 g
9829,Gevuld ei als paaskuiken,natrium,320 mg
9830,Gevuld ei als paaskuiken,eiwit,14 g
9831,Gevuld ei als paaskuiken,vet,20 g
9832,Gevuld ei als paaskuiken,waarvan verzadigd,4 g
9833,Gevuld ei als paaskuiken,vezels,1 g
9834,Paashaasjes van spek en ei,energie,195 kcal
9835,Paashaasjes van spek en ei,koolhydraten,1 g
9836,Paashaasjes van spek en ei,waarvan suikers,1 g
9837,Paashaasjes van spek en ei,natrium,520 mg
9838,Paashaasjes van spek en ei,eiwit,12 g
9839,Paashaasjes van spek en ei,vet,16 g
9840,Paashaasjes van spek en ei,waarvan verzadigd,4 g
9841,Smoothie van twee kleuren,energie,175 kcal
9842,Smoothie van twee kleuren,koolhydraten,23 g
9843,Smoothie van twee kleuren,waarvan suikers,23 g
9844,Smoothie van twee kleuren,natrium,80 mg
9845,Smoothie van twee kleuren,eiwit,6 g
9846,Smoothie van twee kleuren,vet,6 g
9847,Smoothie van twee kleuren,waarvan verzadigd,4 g
9848,Smoothie van twee kleuren,vezels,3 g
9849,Bietenpannenkoekjes,energie,95 kcal
9850,Bietenpannenkoekjes,koolhydraten,7 g
9851,Bietenpannenkoekjes,waarvan suikers,6 g
9852,Bietenpannenkoekjes,natrium,40 mg
9853,Bietenpannenkoekjes,eiwit,2 g
9854,Bietenpannenkoekjes,vet,6 g
9855,Bietenpannenkoekjes,waarvan verzadigd,2 g
9856,Bietenpannenkoekjes,vezels,2 g
9857,Piña colada smoothie,energie,395 kcal
9858,Piña colada smoothie,koolhydraten,36 g
9859,Piña colada smoothie,waarvan suikers,34 g
9860,Piña colada smoothie,natrium,40 mg
9861,Piña colada smoothie,eiwit,3 g
9862,Piña colada smoothie,vet,25 g
9863,Piña colada smoothie,waarvan verzadigd,19 g
9864,Piña colada smoothie,vezels,6 g
9865,Unicorn smoothie,energie,350 kcal
9866,Unicorn smoothie,koolhydraten,60 g
9867,Unicorn smoothie,waarvan suikers,51 g
9868,Unicorn smoothie,natrium,40 mg
9869,Unicorn smoothie,eiwit,6 g
9870,Unicorn smoothie,vet,8 g
9871,Unicorn smoothie,waarvan verzadigd,5 g
9872,Unicorn smoothie,vezels,7 g
9873,"Groene gazpacho van paprika, komkommer en spinazie",energie,140 kcal
9874,"Groene gazpacho van paprika, komkommer en spinazie",koolhydraten,14 g
9875,"Groene gazpacho van paprika, komkommer en spinazie",waarvan suikers,12 g
9876,"Groene gazpacho van paprika, komkommer en spinazie",eiwit,4 g
9877,"Groene gazpacho van paprika, komkommer en spinazie",vet,6 g
9878,"Groene gazpacho van paprika, komkommer en spinazie",waarvan verzadigd,1 g
9879,"Groene gazpacho van paprika, komkommer en spinazie",vezels,6 g
9880,Bladerdeeghapje met zalm en spinazie,energie,85 kcal
9881,Bladerdeeghapje met zalm en spinazie,koolhydraten,5 g
9882,Bladerdeeghapje met zalm en spinazie,waarvan suikers,1 g
9883,Bladerdeeghapje met zalm en spinazie,natrium,120 mg
9884,Bladerdeeghapje met zalm en spinazie,eiwit,3 g
9885,Bladerdeeghapje met zalm en spinazie,vet,6 g
9886,Bladerdeeghapje met zalm en spinazie,waarvan verzadigd,3 g
9887,"Miniquiches met courgette, tuinerwten en ei",energie,110 kcal
9888,"Miniquiches met courgette, tuinerwten en ei",koolhydraten,6 g
9889,"Miniquiches met courgette, tuinerwten en ei",waarvan suikers,3 g
9890,"Miniquiches met courgette, tuinerwten en ei",natrium,200 mg
9891,"Miniquiches met courgette, tuinerwten en ei",eiwit,7 g
9892,"Miniquiches met courgette, tuinerwten en ei",vet,6 g
9893,"Miniquiches met courgette, tuinerwten en ei",waarvan verzadigd,3 g
9894,"Miniquiches met courgette, tuinerwten en ei",vezels,1 g
9895,Bakjes van spek en ei,energie,105 kcal
9896,Bakjes van spek en ei,koolhydraten,0 g
9897,Bakjes van spek en ei,waarvan suikers,0 g
9898,Bakjes van spek en ei,natrium,240 mg
9899,Bakjes van spek en ei,eiwit,8 g
9900,Bakjes van spek en ei,vet,8 g
9901,Bakjes van spek en ei,waarvan verzadigd,3 g
9902,Bakjes van spek en ei,vezels,0 g
9903,Cupcakes met chocoladepaaseitjes,energie,350 kcal
9904,Cupcakes met chocoladepaaseitjes,koolhydraten,34 g
9905,Cupcakes met chocoladepaaseitjes,waarvan suikers,16 g
9906,Cupcakes met chocoladepaaseitjes,natrium,80 mg
9907,Cupcakes met chocoladepaaseitjes,eiwit,3 g
9908,Cupcakes met chocoladepaaseitjes,vet,22 g
9909,Cupcakes met chocoladepaaseitjes,waarvan verzadigd,14 g
9910,Cupcakes met chocoladepaaseitjes,vezels,1 g
9911,Vegan citroentaart met meringue,energie,445 kcal
9912,Vegan citroentaart met meringue,koolhydraten,56 g
9913,Vegan citroentaart met meringue,waarvan suikers,36 g
9914,Vegan citroentaart met meringue,natrium,40 mg
9915,Vegan citroentaart met meringue,eiwit,5 g
9916,Vegan citroentaart met meringue,vet,22 g
9917,Vegan citroentaart met meringue,waarvan verzadigd,10 g
9918,Vegan citroentaart met meringue,vezels,2 g
9919,Chinese chili-olie,energie,105 kcal
9920,Chinese chili-olie,koolhydraten,1 g
9921,Chinese chili-olie,waarvan suikers,1 g
9922,Chinese chili-olie,natrium,80 mg
9923,Chinese chili-olie,vet,11 g
9924,Chinese chili-olie,waarvan verzadigd,1 g
9925,Moscow mule,energie,200 kcal
9926,Moscow mule,koolhydraten,22 g
9927,Moscow mule,waarvan suikers,18 g
9928,Karaage (Japanse gefrituurde kip),energie,180 kcal
9929,Karaage (Japanse gefrituurde kip),koolhydraten,6 g
9930,Karaage (Japanse gefrituurde kip),natrium,320 mg
9931,Karaage (Japanse gefrituurde kip),eiwit,10 g
9932,Karaage (Japanse gefrituurde kip),vet,13 g
9933,Karaage (Japanse gefrituurde kip),waarvan verzadigd,3 g
9934,Botercrème (voor macarons),energie,60 kcal
9935,Botercrème (voor macarons),koolhydraten,5 g
9936,Botercrème (voor macarons),waarvan suikers,4 g
9937,Botercrème (voor macarons),natrium,0 mg
9938,Botercrème (voor macarons),eiwit,1 g
9939,Botercrème (voor macarons),vet,4 g
9940,Botercrème (voor macarons),waarvan verzadigd,3 g
9941,Botercrème (voor macarons),vezels,0 g
9942,Aziatische slawraps met kip &amp; rijst,energie,510 kcal
9943,Aziatische slawraps met kip &amp; rijst,koolhydraten,57 g
9944,Aziatische slawraps met kip &amp; rijst,waarvan suikers,15 g
9945,Aziatische slawraps met kip &amp; rijst,natrium,960 mg
9946,Aziatische slawraps met kip &amp; rijst,eiwit,21 g
9947,Aziatische slawraps met kip &amp; rijst,vet,21 g
9948,Aziatische slawraps met kip &amp; rijst,waarvan verzadigd,5 g
9949,Aziatische slawraps met kip &amp; rijst,vezels,5 g
9950,Makreelbroodje met augurk &amp; peterseliemayonaise,energie,360 kcal
9951,Makreelbroodje met augurk &amp; peterseliemayonaise,koolhydraten,18 g
9952,Makreelbroodje met augurk &amp; peterseliemayonaise,waarvan suikers,1 g
9953,Makreelbroodje met augurk &amp; peterseliemayonaise,natrium,400 mg
9954,Makreelbroodje met augurk &amp; peterseliemayonaise,eiwit,11 g
9955,Makreelbroodje met augurk &amp; peterseliemayonaise,vet,27 g
9956,Makreelbroodje met augurk &amp; peterseliemayonaise,waarvan verzadigd,5 g
9957,Makreelbroodje met augurk &amp; peterseliemayonaise,vezels,1 g
9958,Gehaktballetjes in pittige tomatensaus uit de oven,energie,715 kcal
9959,Gehaktballetjes in pittige tomatensaus uit de oven,koolhydraten,30 g
9960,Gehaktballetjes in pittige tomatensaus uit de oven,waarvan suikers,15 g
9961,Gehaktballetjes in pittige tomatensaus uit de oven,natrium,880 mg
9962,Gehaktballetjes in pittige tomatensaus uit de oven,eiwit,42 g
9963,Gehaktballetjes in pittige tomatensaus uit de oven,vet,46 g
9964,Gehaktballetjes in pittige tomatensaus uit de oven,waarvan verzadigd,18 g
9965,Gehaktballetjes in pittige tomatensaus uit de oven,vezels,7 g
9966,Snelle haastaart,energie,725 kcal
9967,Snelle haastaart,koolhydraten,113 g
9968,Snelle haastaart,waarvan suikers,70 g
9969,Snelle haastaart,natrium,200 mg
9970,Snelle haastaart,eiwit,4 g
9971,Snelle haastaart,vet,28 g
9972,Snelle haastaart,waarvan verzadigd,18 g
9973,Snelle haastaart,vezels,1 g
9974,Ganache,energie,75 kcal
9975,Ganache,koolhydraten,4 g
9976,Ganache,waarvan suikers,4 g
9977,Ganache,eiwit,1 g
9978,Ganache,vet,6 g
9979,Ganache,waarvan verzadigd,4 g
9980,Ganache,vezels,1 g
9981,Quiche met broccoli en gerookte zalm,energie,585 kcal
9982,Quiche met broccoli en gerookte zalm,koolhydraten,29 g
9983,Quiche met broccoli en gerookte zalm,waarvan suikers,5 g
9984,Quiche met broccoli en gerookte zalm,natrium,800 mg
9985,Quiche met broccoli en gerookte zalm,eiwit,30 g
9986,Quiche met broccoli en gerookte zalm,vet,37 g
9987,Quiche met broccoli en gerookte zalm,waarvan verzadigd,18 g
9988,Quiche met broccoli en gerookte zalm,vezels,6 g
9989,Halloumi-salade,energie,575 kcal
9990,Halloumi-salade,koolhydraten,24 g
9991,Halloumi-salade,waarvan suikers,8 g
9992,Halloumi-salade,natrium,1480 mg
9993,Halloumi-salade,eiwit,36 g
9994,Halloumi-salade,vet,35 g
9995,Halloumi-salade,waarvan verzadigd,20 g
9996,Halloumi-salade,vezels,9 g
9997,Witte asperges ovenschotel met carbonara-saus,energie,475 kcal
9998,Witte asperges ovenschotel met carbonara-saus,koolhydraten,41 g
9999,Witte asperges ovenschotel met carbonara-saus,waarvan suikers,8 g
10000,Witte asperges ovenschotel met carbonara-saus,natrium,800 mg
10001,Witte asperges ovenschotel met carbonara-saus,eiwit,19 g
10002,Witte asperges ovenschotel met carbonara-saus,vet,25 g
10003,Witte asperges ovenschotel met carbonara-saus,waarvan verzadigd,13 g
10004,Witte asperges ovenschotel met carbonara-saus,vezels,6 g
10005,Eenpansnoedels met broccoli en paprika,energie,425 kcal
10006,Eenpansnoedels met broccoli en paprika,koolhydraten,59 g
10007,Eenpansnoedels met broccoli en paprika,waarvan suikers,5 g
10008,Eenpansnoedels met broccoli en paprika,natrium,1800 mg
10009,Eenpansnoedels met broccoli en paprika,eiwit,21 g
10010,Eenpansnoedels met broccoli en paprika,vet,9 g
10011,Eenpansnoedels met broccoli en paprika,waarvan verzadigd,1 g
10012,Eenpansnoedels met broccoli en paprika,vezels,11 g
10013,Lamskotelet bakken,energie,325 kcal
10014,Lamskotelet bakken,natrium,280 mg
10015,Lamskotelet bakken,eiwit,21 g
10016,Lamskotelet bakken,vet,27 g
10017,Lamskotelet bakken,waarvan verzadigd,13 g
10018,Paasbrood (paasstol),energie,435 kcal
10019,Paasbrood (paasstol),koolhydraten,46 g
10020,Paasbrood (paasstol),waarvan suikers,23 g
10021,Paasbrood (paasstol),natrium,120 mg
10022,Paasbrood (paasstol),eiwit,10 g
10023,Paasbrood (paasstol),vet,23 g
10024,Paasbrood (paasstol),waarvan verzadigd,6 g
10025,Paasbrood (paasstol),vezels,3 g
10026,Eierballen,energie,300 kcal
10027,Eierballen,koolhydraten,14 g
10028,Eierballen,waarvan suikers,1 g
10029,Eierballen,natrium,400 mg
10030,Eierballen,eiwit,12 g
10031,Eierballen,vet,22 g
